source,subset,contrast,metric,n_items,mean_delta,cv,frac_dominant_sign,spearman_rho_spr,spearman_p_spr
bidirectional,Agreement,UNAGREE-AGREE,steps_taken,18,13.055555555555555,5.089438093030315,0.1111111111111111,-0.3415190371517362,0.1654271474109676
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,24,169.29166666666666,1.1822639889173638,0.7916666666666666,0.2075029582943143,0.3305880095332107
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,24,-27.666666666666668,11.788456442192327,0.4583333333333333,-0.2030949395394708,0.3411914180067841
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,24,34.166666666666664,12.717927721887165,0.5416666666666666,0.3659071024789344,0.0786719085746023
bidirectional,RelativeClause,RC_Obj-RC_Subj,steps_taken,24,-76.33333333333333,7.102061876966851,0.5833333333333334,-0.0554590440619787,0.7968803546298029
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,steps_taken,24,-70.08333333333333,4.057605738123629,0.2083333333333333,0.4766135686561603,0.0185392722264312
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,steps_taken,24,-78.16666666666667,4.34211656774566,0.375,-0.1545329569464348,0.4709168289223178
bidirectional,Agreement,UNAGREE-AGREE,final_surprisal,18,-0.1231110331057649,7.9707143351984,0.5555555555555556,0.2218782249742001,0.3762254210655622
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,24,-0.9398059692455822,1.665850745724472,0.7083333333333334,0.0252173913043478,0.9068896173989752
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,24,0.2380797629169518,8.93181593954538,0.5833333333333334,0.3060869565217391,0.1457674095865943
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,24,0.871287346244591,2.718541605776855,0.625,-0.4643478260869564,0.0222598535139937
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_surprisal,24,-4.883326793109872,1.799960403752631,0.8333333333333334,-0.0208695652173913,0.9228917031216202
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_surprisal,24,0.3059646523219499,5.63573149865648,0.5833333333333334,-0.3008695652173913,0.1531136474609009
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_surprisal,24,0.6413837788414948,3.85974522315744,0.5833333333333334,0.108695652173913,0.6131561977406332
bidirectional,Agreement,UNAGREE-AGREE,final_entropy,18,0.2194350593619876,2.9654153226643305,0.8333333333333334,-0.1001031991744066,0.6926899392518374
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,24,1.4060187737147014,1.2532463839289532,0.7916666666666666,0.0217391304347826,0.9196887674366272
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,24,0.044081762433052,61.586380008766966,0.5416666666666666,-0.2165217391304347,0.3095198975623006
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,24,0.1296292518575986,29.11758275136003,0.5416666666666666,0.3921739130434782,0.0580363388702506
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_entropy,24,-1.7490704696004589,2.810585802428849,0.625,-0.0365217391304347,0.8654631927363388
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_entropy,24,-0.3208821540077527,6.08099733356252,0.4166666666666667,0.3278260869565217,0.1178516210888859
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_entropy,24,-0.5667064845717201,4.605354325717027,0.5833333333333334,-0.3,0.1543630091360108
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_entropy,18,0.8513767984178331,0.4847489378833351,1.0,0.4282765737874097,0.076200959352402
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,24,-0.1330623030662536,6.518435424220572,0.5,-0.2347826086956521,0.2694546117695452
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,24,0.1336774230003357,6.042167026259276,0.5416666666666666,-0.16,0.455169720215426
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,24,0.3027319709459941,2.1251577674289064,0.75,0.0869565217391304,0.6861953252985288
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_sampler_entropy,24,-2.9074206749598184,0.5343060709674793,0.9166666666666666,-0.0391304347826086,0.855947935071337
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_entropy,24,0.2252246737480163,2.033335459679678,0.7083333333333334,0.0852173913043478,0.692169031649988
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_entropy,24,0.2082542379697164,2.8447896754205844,0.7083333333333334,-0.3469565217391303,0.0967023678304581
bidirectional,Agreement,UNAGREE-AGREE,final_sampler_p_target,18,-0.0006973885184417,2.7679389134628107,0.5,-0.0608875128998968,0.8103299008966292
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,24,0.0005663883186196,3.3052318961156386,0.625,-0.1156521739130434,0.590478316886841
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,24,-0.0013915095592575,2.5090899534171047,0.7083333333333334,-0.0539130434782608,0.8024319710844886
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,24,-1.284857940930806e-05,48.61278002288047,0.7083333333333334,0.2347826086956521,0.2694546117695452
bidirectional,RelativeClause,RC_Obj-RC_Subj,final_sampler_p_target,24,0.0302508739151695,2.7133604978585004,0.875,0.0869565217391304,0.6861953252985288
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_p_target,24,-0.0012074424667923,5.501165133348081,0.625,-0.0469565217391304,0.8275237958648594
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_p_target,24,0.001278786601001,5.608655898292058,0.5,0.1113043478260869,0.6046100724044843
bidirectional,Agreement,UNAGREE-AGREE,cumulative_kl,18,0.0046332195579452,6.003260854675137,0.6111111111111112,-0.2136222910216718,0.3946884572555506
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,24,0.1566129609192709,1.6689185905663275,0.7916666666666666,0.0469565217391304,0.8275237958648594
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,24,-0.0668995900956967,3.7626302309289112,0.4583333333333333,-0.2252173913043478,0.2900074275938717
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,24,0.1170898674395175,3.453507932050957,0.5416666666666666,0.4495652173913043,0.0275219117697611
bidirectional,RelativeClause,RC_Obj-RC_Subj,cumulative_kl,24,-0.0100183859233311,51.20386194958908,0.5833333333333334,-0.1339130434782608,0.5327356259700111
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,cumulative_kl,24,-0.094909831667716,5.789877744964764,0.5416666666666666,0.2747826086956521,0.1937806358685572
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,cumulative_kl,24,-0.09694005505465,5.397642146062625,0.5416666666666666,-0.1495652173913043,0.4854643322541819
bidirectional,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,18,0.0664976814296096,2.673297114311442,0.7777777777777778,-0.3581011351909184,0.1445292896615503
bidirectional,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,24,0.4281289021055272,1.8982686807726543,0.7916666666666666,0.0295652173913043,0.8909226043767046
bidirectional,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,24,0.0036582613186813,138.29054738781358,0.5833333333333334,-0.32,0.1274105728204174
bidirectional,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,24,-0.0688663627030716,17.664163735465117,0.4583333333333333,0.528695652173913,0.0079050859550298
bidirectional,RelativeClause,RC_Obj-RC_Subj,sampler_cumulative_kl,24,-0.2964380300569852,5.138876671901771,0.5833333333333334,-0.1452173913043478,0.4983794692456114
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,sampler_cumulative_kl,24,-0.2008435710340563,5.485455017909675,0.6666666666666666,0.2704347826086956,0.20121293703334
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,sampler_cumulative_kl,24,-0.1776704546124771,7.544030374646012,0.5,-0.0817391304347825,0.7041697144360882
