trajectory_source,subset,contrast,metric,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
critical_position,Agreement,UNAGREE-AGREE,steps_taken,18,0.48308139306629994,0.042274919930623496,0.3078884415089241,0.2138864779120465,0.8034563746797572,False
critical_position,Agreement,UNAGREE-AGREE,final_surprisal,18,-0.2982456140350877,0.229322411766133,-0.12079651554144537,0.6330357621080531,0.8034563746797572,False
critical_position,Agreement,UNAGREE-AGREE,final_entropy,18,0.11248710010319916,0.6567565630509027,0.12798328850521576,0.612789930204598,0.8468703049866902,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_entropy,18,-0.2198142414860681,0.3807953913501375,-0.35137236190235094,0.15277649762762857,0.81608519077537,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_p_target,18,0.10216718266253869,0.6866550541678016,0.07762600042844812,0.7594845924592646,0.8627204526723662,False
critical_position,Agreement,UNAGREE-AGREE,cumulative_kl,18,0.3952528379772961,0.10449665262201607,0.3228036098263122,0.19137286739236106,0.8034563746797572,False
critical_position,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,18,0.3498452012383901,0.1546923218138582,0.27187718603770716,0.2751010570347711,0.8034563746797572,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,24,-0.017872772554470243,0.9339386289458005,-0.07435082086018041,0.7298861922018425,0.9339386289458005,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,24,-0.11130434782608695,0.6046100724044843,-0.02537207664696945,0.9063209118315712,0.8468703049866902,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,24,-0.09999999999999999,0.6419932296067883,-0.06490091327728056,0.7631913203309681,0.8468703049866902,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,24,-0.2434782608695652,0.2515981618428428,-0.2612023989610347,0.21762988937491756,0.81608519077537,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,24,0.02,0.9260958020254711,0.19613982525990423,0.3583278961966784,0.9339386289458005,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,24,-0.11217391304347826,0.601772453267223,-0.24563776268327517,0.24728560917551373,0.8468703049866902,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,24,-0.11130434782608695,0.6046100724044843,-0.19300249478169157,0.36621957025809315,0.8468703049866902,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,24,0.15471824793242947,0.4703785901743769,0.1745209235322897,0.41471735320644043,0.8468703049866902,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,24,0.03913043478260869,0.855947935071337,0.02825622800614061,0.8957257080976108,0.898982522665973,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,24,0.20173913043478262,0.3444930314073976,0.12198651816058928,0.5701473574704945,0.81608519077537,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,24,-0.03739130434782608,0.8622893584755251,-0.05055623836827706,0.8145177441746545,0.898982522665973,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,24,-0.12782608695652173,0.5516845044816034,0.10730025951726865,0.6177477749550797,0.8468703049866902,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,24,0.10695652173913042,0.6188809974331805,-0.060809797191921006,0.777741287618693,0.8468703049866902,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,24,0.09913043478260869,0.6449056390307348,-0.10117845702816573,0.6380544226710736,0.8468703049866902,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,24,-0.22657099905036693,0.2870409309023353,-0.294012548595013,0.16316145048138958,0.81608519077537,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,24,0.2756521739130435,0.19231697608300116,0.27766743824896356,0.18895396288614116,0.8034563746797572,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,24,-0.3139130434782608,0.13522381083434734,-0.32880729944705633,0.11669112597897041,0.8034563746797572,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,24,-0.17739130434782607,0.40696255139715687,-0.2539542347949208,0.23112910446770887,0.81608519077537,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,24,0.08,0.7101960521957591,0.04143704896982087,0.8475506740843635,0.869990163939805,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,24,-0.17565217391304347,0.41165144697505396,-0.19008299116242894,0.3736530616189259,0.81608519077537,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,24,-0.1843478260869565,0.3885058997417008,-0.11910821664731863,0.5793471643868677,0.81608519077537,False
critical_position,RelativeClause,RC_Obj-RC_Subj,steps_taken,24,-0.3385553936693949,0.1056114590142952,-0.2552099296072202,0.22875176462716884,0.8034563746797572,False
critical_position,RelativeClause,RC_Obj-RC_Subj,final_surprisal,24,-0.0634782608695652,0.768242407223753,-0.1397929901590438,0.5147272849870278,0.8789623424430653,False
critical_position,RelativeClause,RC_Obj-RC_Subj,final_entropy,24,-0.3408695652173913,0.10309920611122532,-0.2453498691920549,0.24785773766733457,0.8034563746797572,False
critical_position,RelativeClause,RC_Obj-RC_Subj,final_sampler_entropy,24,-0.25478260869565217,0.22955896419421634,-0.18695553116020414,0.38171153662705515,0.8034563746797572,False
critical_position,RelativeClause,RC_Obj-RC_Subj,final_sampler_p_target,24,0.0626086956521739,0.7713343005112614,0.1328161129314495,0.5361276387156879,0.8789623424430653,False
