,Agr,MVRR,NPZ,NPS,RC,HiAt,LowA
steps_taken,60.44444444444444,74.25,44.458333333333336,120.16666666666667,251.20833333333334,47.0,64.58333333333333
final_surprisal,0.060176525502978445,0.9174484496744303,0.11156037038035616,1.0985848517644798,4.615300986603588,0.2819653306433361,0.08438434333531064
final_entropy,0.8329243726200528,0.36429622521003086,0.35655631870031357,0.9248609741528829,4.694176971912384,0.1713628408809503,0.6148715078985939
final_sampler_entropy,0.5615875720977783,0.08687851826349895,0.19453859329223633,0.18162169059117636,3.2533076802889505,0.2895362973213196,0.1142322023709615
final_sampler_p_target,0.000657528784453613,0.000599684575081009,0.0005066094162327062,0.001763879716615217,0.03778476456767995,0.00025571294904954317,0.0014920466188688881
cumulative_kl,0.05180130826859871,0.12291376844298914,0.029144873997059523,0.10402014277027168,0.32647543342845137,0.2187947982724836,0.0027124326327339077
sampler_cumulative_kl,0.12418263256808536,0.11984382612839302,0.043942228022691175,0.18853988471770813,0.5794980558178698,0.6386079861846762,0.10914588097087592
