trajectory_source,subset,contrast,metric,et_measure,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,spearman_p_fdr,spearman_fdr_sig
critical_position,Agreement,UNAGREE-AGREE,steps_taken,ffd,18,0.09342032028763052,0.7123495254930098,0.2621774879831268,0.29326002378243876,0.9651187119582714,False
critical_position,Agreement,UNAGREE-AGREE,final_surprisal,ffd,18,0.4447884416924664,0.0643852241036506,0.15368619124370886,0.5426173224706703,0.6309751962157759,False
critical_position,Agreement,UNAGREE-AGREE,final_entropy,ffd,18,0.005159958720330237,0.9837879533049654,0.2519859447152534,0.3131020581975169,1.0,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_entropy,ffd,18,-0.23219814241486067,0.3538383254251315,-0.09136459971535059,0.7184325453727978,0.8731181757038086,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_p_target,ffd,18,-0.32301341589267285,0.19106788357348967,-0.33990621858258313,0.16756352367825056,0.7724427881730861,False
critical_position,Agreement,UNAGREE-AGREE,cumulative_kl,ffd,18,0.20330237358101136,0.4184467334719628,0.3260861605336314,0.18663815026239666,0.8731181757038086,False
critical_position,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,ffd,18,0.10216718266253869,0.6866550541678016,0.2505145969061286,0.3160309266987782,0.9629111443916741,False
critical_position,Agreement,UNAGREE-AGREE,steps_taken,gz,18,0.1069416824345244,0.6727643069534505,0.08333118516457803,0.7423558003508179,0.9629111443916741,False
critical_position,Agreement,UNAGREE-AGREE,final_surprisal,gz,18,0.2776057791537668,0.26470972815378374,0.239996293962702,0.33743844972773596,0.8023160832702311,False
critical_position,Agreement,UNAGREE-AGREE,final_entropy,gz,18,-0.040247678018575844,0.8740147776078566,0.07352461318277538,0.771864913627347,0.9891671285147632,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_entropy,gz,18,-0.38080495356037153,0.11898433684768554,-0.23026039113967348,0.3579827735641287,0.7724427881730861,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_p_target,gz,18,-0.24458204334365324,0.3280041243603068,-0.31740537263760715,0.1993312895248874,0.8420339717772517,False
critical_position,Agreement,UNAGREE-AGREE,cumulative_kl,gz,18,-0.040247678018575844,0.8740147776078566,0.09324618344428415,0.7128641743046995,0.9891671285147632,False
critical_position,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,gz,18,-0.052631578947368425,0.8356904320597222,-0.05633048146613519,0.8243075756592528,0.9891671285147632,False
critical_position,Agreement,UNAGREE-AGREE,steps_taken,gp,18,-0.17946535213150072,0.47611649601915407,-0.3058650684067613,0.21706782120425844,0.9270082770174258,False
critical_position,Agreement,UNAGREE-AGREE,final_surprisal,gp,18,0.15170278637770898,0.5479006675946312,0.21132197616866236,0.3999192696899949,0.9420046565662081,False
critical_position,Agreement,UNAGREE-AGREE,final_entropy,gp,18,-0.09803921568627451,0.6987424830235279,-0.321386119829705,0.1934418632319831,0.9629111443916741,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_entropy,gp,18,-0.0629514963880289,0.8040167566657793,0.046019828376315804,0.8561133938827237,0.9849205269155797,False
critical_position,Agreement,UNAGREE-AGREE,final_sampler_p_target,gp,18,0.06914344685242517,0.7851478708666942,0.26114472201998024,0.2952352175861911,0.9832494710692453,False
critical_position,Agreement,UNAGREE-AGREE,cumulative_kl,gp,18,-0.391124871001032,0.10849983794275489,-0.24603699523324657,0.3250434519314269,0.7507497572332488,False
critical_position,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,gp,18,-0.4220846233230134,0.08101904869498933,-0.3278600797058873,0.18411225950333376,0.7005764798919666,False
critical_position,Agreement,UNAGREE-AGREE,steps_taken,tt,18,0.11431697087828473,0.6515049891561115,-0.0195624878722288,0.9385877545128596,0.9629111443916741,False
critical_position,Agreement,UNAGREE-AGREE,final_surprisal,tt,18,-0.01547987616099071,0.9513880221541826,0.11928072507122432,0.6373383876761598,1.0,False
