trajectory_source,subset,contrast,cond_a,cond_b,variable,n_items,spearman_rho,spearman_p,pearson_r,pearson_p,notes,spearman_p_fdr,spearman_fdr_sig
bidirectional,RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,p_semantic_neighbors,24,0.013043478260869565,0.9517646868003002,0.09359960048001968,0.663547159964486,RC SPR residualized (filler WP fit),0.9891425083537231,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,entropy,24,0.34956521739130436,0.09405311883595951,0.27232424055370935,0.19795965555786033,SPR raw,0.7913985549321552,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,sampler_entropy,24,0.007826086956521738,0.9710483085120961,-0.043115212893202505,0.8414513408727406,SPR raw,0.9891425083537231,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,surprisal,24,-0.32260869565217387,0.12416401155590807,-0.29701200080032897,0.1587109168952474,SPR raw,0.7913985549321552,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,p_syntactic_group,24,0.1652173913043478,0.44040292312830936,0.40327236002682454,0.0506949266143827,SPR raw,0.8705519970531735,False
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,p_semantic_neighbors,24,0.3052173913043478,0.1469740173445431,-0.07324361351562408,0.7337652838892728,SPR raw,0.7913985549321552,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,entropy,23,-0.30138339920948615,0.16225571581325915,-0.04679416119981861,0.8320932645020338,SPR raw,0.8112785790662957,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,sampler_entropy,23,-0.5503952569169961,0.006502203220340606,-0.47090479626928694,0.02333117123524349,SPR raw,0.45515422542384243,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,surprisal,23,-0.13537549407114624,0.5379749676391848,-0.11626567988193895,0.5972959031311079,SPR raw,0.8882164412387407,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,p_syntactic_group,23,-0.1116600790513834,0.6119928487517101,0.042179425946086715,0.848455695733182,SPR raw,0.8882164412387407,False
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,p_semantic_neighbors,23,0.043478260869565216,0.8438440075057312,0.032056378915082395,0.8845526115164095,SPR raw,0.9229543832093935,False
critical_position,Agreement,UNAGREE-AGREE,UNAGREE,AGREE,entropy,18,0.2239422084623323,0.37168616375621716,0.2082222586757671,0.4070270011988392,SPR raw,0.8705519970531735,False
critical_position,Agreement,UNAGREE-AGREE,UNAGREE,AGREE,sampler_entropy,18,-0.1455108359133127,0.5645405304670834,-0.20553650495005363,0.4132400627620497,SPR raw,0.8882164412387407,False
critical_position,Agreement,UNAGREE-AGREE,UNAGREE,AGREE,surprisal,18,-0.2549019607843137,0.307345280412546,-0.12689426660979913,0.6158411753523888,SPR raw,0.8705519970531735,False
critical_position,Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_syntactic_group,18,0.19091847265221878,0.4479306707266413,0.2353497110819669,0.34715654565421383,SPR raw,0.8705519970531735,False
critical_position,Agreement,UNAGREE-AGREE,UNAGREE,AGREE,p_semantic_neighbors,18,0.021671826625386997,0.9319797351987382,0.17969353986027975,0.4755465194839964,SPR raw,0.9884633555138133,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,entropy,24,-0.1226086956521739,0.5681672657020509,-0.08725827747601941,0.6851606720479215,SPR raw,0.8882164412387407,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,sampler_entropy,24,-0.21130434782608692,0.32160503545975194,-0.342921002467802,0.10090935367599944,SPR raw,0.8705519970531735,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,surprisal,24,-0.054782608695652164,0.799308243488264,0.00381920411493894,0.9858691044385997,SPR raw,0.9054709394184762,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_syntactic_group,24,-0.05826086956521739,0.7868436161547347,0.022455729396710977,0.9170501722812936,SPR raw,0.9054709394184762,False
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,MVRR_AMB,MVRR_UAMB,p_semantic_neighbors,24,0.1252173913043478,0.559898535790483,0.19960671008540684,0.3497240077022796,SPR raw,0.8882164412387407,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,entropy,24,0.22,0.3016203705478415,0.12376421007848906,0.5644979588780834,SPR raw,0.8705519970531735,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,sampler_entropy,24,-0.10956521739130433,0.610301978528463,-0.13185643509102182,0.5391034938375217,SPR raw,0.8882164412387407,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,surprisal,24,-0.08608695652173912,0.6891799258775776,-0.13132227005637265,0.540763207762523,SPR raw,0.9050230008798512,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,p_syntactic_group,24,0.09739130434782609,0.6507456469889162,0.033802513650760924,0.8754009344000976,SPR raw,0.897616024136991,False
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,NPS_AMB,NPS_UAMB,p_semantic_neighbors,24,0.2773913043478261,0.1894123670698224,0.4230995260421653,0.03939851366909029,SPR raw,0.8542269797005699,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,entropy,24,-0.27391304347826084,0.195251881074416,-0.316687711512852,0.131620660779041,SPR raw,0.8542269797005699,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,sampler_entropy,24,-0.11304347826086956,0.5989404349055965,-0.22500952520913337,0.29046466934411236,SPR raw,0.8882164412387407,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,surprisal,24,0.21913043478260866,0.30358344391723047,0.27425365812630953,0.1946746798384645,SPR raw,0.8705519970531735,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,p_syntactic_group,24,-0.36,0.08399469645152526,-0.3416636894502765,0.10224737286508254,SPR raw,0.7913985549321552,False
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,NPZ_AMB,NPZ_UAMB,p_semantic_neighbors,24,-0.3060869565217391,0.1457674095865942,0.10994080193475708,0.6090708764630413,SPR raw,0.7913985549321552,False
critical_position,RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,entropy,24,-0.3417391304347826,0.10216672120818253,-0.23877638481137647,0.2611556239393288,RC SPR residualized (filler WP fit),0.7913985549321552,False
critical_position,RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,sampler_entropy,24,-0.15826086956521737,0.46014891272810604,-0.15338938987506534,0.47424567879824253,RC SPR residualized (filler WP fit),0.8705519970531735,False
critical_position,RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,surprisal,24,-0.1695652173913043,0.4282952504035892,-0.157721057586043,0.4617001549594141,RC SPR residualized (filler WP fit),0.8705519970531735,False
critical_position,RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,p_syntactic_group,24,-0.14782608695652172,0.49061007074296015,-0.15535639925279468,0.4685272894982514,RC SPR residualized (filler WP fit),0.8882164412387407,False
critical_position,RelativeClause,RC_Obj-RC_Subj,RC_Obj,RC_Subj,p_semantic_neighbors,24,-0.07739130434782608,0.7192671455433247,0.07295227301414481,0.7347870484874407,RC SPR residualized (filler WP fit),0.9054709394184762,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,entropy,24,0.08347826086956521,0.6981606006787423,0.06503464631181291,0.7627169832507918,SPR raw,0.9050230008798512,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,sampler_entropy,24,-0.09391304347826085,0.6624853858393348,-0.1335699078110963,0.5337956100106088,SPR raw,0.897616024136991,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,surprisal,24,0.04434782608695652,0.8369769840650598,-0.029639682224340935,0.8906494791984236,SPR raw,0.9229543832093935,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,p_syntactic_group,24,-0.054782608695652164,0.799308243488264,0.17323847073522236,0.4182081769522787,SPR raw,0.9054709394184762,False
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,AttachHigh,AttachMulti,p_semantic_neighbors,24,0.1060869565217391,0.6217515088671185,0.2653634032295096,0.21012348314384116,SPR raw,0.8882164412387407,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,entropy,23,0.06225296442687748,0.7778062934206544,-0.030395382426396708,0.8904986048928372,SPR raw,0.9054709394184762,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,sampler_entropy,23,-0.3132411067193676,0.1455589089242155,-0.3254764342656463,0.12964703056742644,SPR raw,0.7913985549321552,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,surprisal,23,0.05533596837944664,0.801988546342079,-0.03956753694683159,0.8577439784527169,SPR raw,0.9054709394184762,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,p_syntactic_group,23,-0.00691699604743083,0.975011901091527,-0.1813091058797741,0.40770888652028253,SPR raw,0.9891425083537231,False
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,AttachLow,AttachMulti,p_semantic_neighbors,23,-0.09486166007905138,0.6668004750731934,0.18739194637783166,0.39188442688417047,SPR raw,0.897616024136991,False
