subset,contrast,human_measure,rank,metric,observed_mean,predicted_mean,abs_err,rel_abs_err,magnitude_ratio
ClassicGP,MVRR_AMB-MVRR_UAMB,ffd,1,sampler_cumulative_kl,1.2816435450034949,0.5951373549184353,0.6865061900850595,0.5356451821268194,0.4643548178731805
ClassicGP,MVRR_AMB-MVRR_UAMB,ffd,2,cumulative_kl,1.2816435450034949,0.4921322909602352,0.7895112540432596,0.6160146923231348,0.3839853076768652
ClassicGP,MVRR_AMB-MVRR_UAMB,ffd,3,total_kl,1.2816435450034949,0.4921322909602352,0.7895112540432596,0.6160146923231348,0.3839853076768652
ClassicGP,NPS_AMB-NPS_UAMB,ffd,1,argmax_settle_step,-13.458412103339782,-0.5199600090600853,12.938452094279697,0.9613654266887062,0.0386345733112938
ClassicGP,NPS_AMB-NPS_UAMB,ffd,2,cumulative_kl,-13.458412103339782,-0.2102217360865002,13.248190367253281,0.9843799005059197,0.0156200994940801
ClassicGP,NPS_AMB-NPS_UAMB,ffd,3,total_kl,-13.458412103339782,-0.2102217360865002,13.248190367253281,0.9843799005059197,0.0156200994940801
ClassicGP,NPZ_AMB-NPZ_UAMB,ffd,1,argmax_flips,-3.855899549932416,-0.1027279511108183,3.7531715988215977,0.9733582398139446,0.0266417601860553
ClassicGP,NPZ_AMB-NPZ_UAMB,ffd,2,sampler_cumulative_kl,-3.855899549932416,-0.0957303857328912,3.760169164199525,0.975173008400966,0.024826991599034
ClassicGP,NPZ_AMB-NPZ_UAMB,ffd,3,max_sampler_kl_value,-3.855899549932416,-0.0549288877606031,3.800970662171813,0.9857545853958862,0.0142454146041138
RelativeClause,RC_Obj-RC_Subj,ffd,1,final_surprisal,-15.08812239942042,-5.0852591894324375,10.002863209987982,0.6629627560797241,0.3370372439202758
RelativeClause,RC_Obj-RC_Subj,ffd,2,final_syntactic_rank,-15.08812239942042,-1.1834194217940588,13.904702977626362,0.9215661571091499,0.0784338428908501
RelativeClause,RC_Obj-RC_Subj,ffd,3,syn_rank_end,-15.08812239942042,-1.1834194217940588,13.904702977626362,0.9215661571091499,0.0784338428908501
AttachmentAmbiguity,AttachHigh-AttachMulti,ffd,1,cumulative_kl,-5.215941645795634,-0.2982396387829015,4.917702007012732,0.9428215154547787,0.0571784845452212
AttachmentAmbiguity,AttachHigh-AttachMulti,ffd,2,total_kl,-5.215941645795634,-0.2982396387829015,4.917702007012732,0.9428215154547787,0.0571784845452212
AttachmentAmbiguity,AttachHigh-AttachMulti,ffd,3,sampler_cumulative_kl,-5.215941645795634,-0.2791904751810452,4.936751170614588,0.9464736198868157,0.0535263801131842
AttachmentAmbiguity,AttachLow-AttachMulti,ffd,1,total_kl,-6.458681572447596,-0.3130588973788964,6.1456226750687,0.9515289778777158,0.0484710221222841
AttachmentAmbiguity,AttachLow-AttachMulti,ffd,2,cumulative_kl,-6.458681572447596,-0.3046193054510233,6.154062266996573,0.9528356829433249,0.0471643170566751
AttachmentAmbiguity,AttachLow-AttachMulti,ffd,3,argmax_settle_step,-6.458681572447596,-0.2719341901112564,6.18674738233634,0.9578963311535107,0.0421036688464893
Agreement,UNAGREE-AGREE,gz,1,final_surprisal,-7.227656130915245,-1.0175295733486347,6.2101265575666105,0.8592172130331021,0.1407827869668979
Agreement,UNAGREE-AGREE,gz,2,max_sampler_kl_value,-7.227656130915245,-0.1402601611505692,7.0873959697646765,0.9805939631590072,0.0194060368409928
Agreement,UNAGREE-AGREE,gz,3,argmax_flips,-7.227656130915245,0.0,7.227656130915245,1.0,-0.0
ClassicGP,MVRR_AMB-MVRR_UAMB,gz,1,final_syntactic_rank,5.342793348672632,2.178423461786829,3.1643698868858023,0.592268815276556,0.4077311847234441
ClassicGP,MVRR_AMB-MVRR_UAMB,gz,2,syn_rank_end,5.342793348672632,2.178423461786829,3.1643698868858023,0.592268815276556,0.4077311847234441
ClassicGP,MVRR_AMB-MVRR_UAMB,gz,3,sampler_cumulative_kl,5.342793348672632,1.6347519969505755,3.708041351722056,0.6940267215544254,0.3059732784455747
ClassicGP,NPS_AMB-NPS_UAMB,gz,1,sem_lock_step,-1.9990340192089944,-0.1594549344816111,1.8395790847273832,0.9202340065504705,0.0797659934495294
ClassicGP,NPS_AMB-NPS_UAMB,gz,2,cumulative_kl,-1.9990340192089944,-0.0362559200403561,1.9627780991686383,0.9818632801183131,0.0181367198816868
ClassicGP,NPS_AMB-NPS_UAMB,gz,3,total_kl,-1.9990340192089944,-0.0362559200403561,1.9627780991686383,0.9818632801183131,0.0181367198816868
ClassicGP,NPZ_AMB-NPZ_UAMB,gz,1,argmax_flips,-2.4550915840686174,-3.4516433679710183,0.996551783902401,0.4059122642793224,1.4059122642793225
ClassicGP,NPZ_AMB-NPZ_UAMB,gz,2,argmax_settle_step,-2.4550915840686174,-3.5165936747876807,1.0615020907190633,0.432367614148196,1.432367614148196
ClassicGP,NPZ_AMB-NPZ_UAMB,gz,3,sampler_cumulative_kl,-2.4550915840686174,-0.2629568417313261,2.1921347423372914,0.8928932658000686,0.1071067341999314
RelativeClause,RC_Obj-RC_Subj,gz,1,final_surprisal,-135.4121390555583,-40.361365695357534,95.05077336020076,0.7019368723006609,0.298063127699339
RelativeClause,RC_Obj-RC_Subj,gz,2,final_syntactic_rank,-135.4121390555583,-9.139063640539616,126.27307541501868,0.9325092735091501,0.0674907264908498
RelativeClause,RC_Obj-RC_Subj,gz,3,syn_rank_end,-135.4121390555583,-9.139063640539616,126.27307541501868,0.9325092735091501,0.0674907264908498
AttachmentAmbiguity,AttachHigh-AttachMulti,gz,1,argmax_settle_step,2.064784222677417,1.6389346499989583,0.4258495726784586,0.20624410434822923,0.7937558956517708
AttachmentAmbiguity,AttachHigh-AttachMulti,gz,2,final_surprisal,2.064784222677417,2.528839814620469,0.464055591943052,0.22474774208672935,1.2247477420867294
AttachmentAmbiguity,AttachHigh-AttachMulti,gz,3,argmax_flips,2.064784222677417,2.842529832446722,0.7777456097693052,0.37667161596227144,1.3766716159622714
AttachmentAmbiguity,AttachLow-AttachMulti,gz,1,argmax_flips,1.2466886907453418,0.6091135355242988,0.637575155221043,0.5114148864540226,0.4885851135459774
AttachmentAmbiguity,AttachLow-AttachMulti,gz,2,max_sampler_kl_value,1.2466886907453418,0.0904669287940467,1.1562217619512951,0.9274342267916457,0.0725657732083543
AttachmentAmbiguity,AttachLow-AttachMulti,gz,3,final_syntactic_rank,1.2466886907453418,0.0822370250806419,1.1644516656647,0.9340356372115032,0.0659643627884969
Agreement,UNAGREE-AGREE,gp,1,max_sampler_kl_value,152.2176866229243,8.829164565921205,143.3885220570031,0.9419964607148908,0.058003539285109
Agreement,UNAGREE-AGREE,gp,2,final_syntactic_rank,152.2176866229243,3.0273936410862063,149.1902929818381,0.9801114199785094,0.0198885800214905
Agreement,UNAGREE-AGREE,gp,3,syn_rank_end,152.2176866229243,3.0273936410862063,149.1902929818381,0.9801114199785094,0.0198885800214905
ClassicGP,MVRR_AMB-MVRR_UAMB,gp,1,sampler_cumulative_kl,587.6095029513382,5.770492844905736,581.8390101064324,0.9901797149026303,0.0098202850973695
ClassicGP,MVRR_AMB-MVRR_UAMB,gp,2,final_syntactic_rank,587.6095029513382,2.472418777527151,585.137084173811,0.9957924118566681,0.0042075881433318
ClassicGP,MVRR_AMB-MVRR_UAMB,gp,3,syn_rank_end,587.6095029513382,2.472418777527151,585.137084173811,0.9957924118566681,0.0042075881433318
ClassicGP,NPS_AMB-NPS_UAMB,gp,1,argmax_flips,183.1402683161772,8.7421186710891,174.39814964508813,0.9522654479461802,0.0477345520538198
ClassicGP,NPS_AMB-NPS_UAMB,gp,2,argmax_settle_step,183.1402683161772,6.888783440429489,176.25148487574774,0.9623852061386273,0.0376147938613726
ClassicGP,NPS_AMB-NPS_UAMB,gp,3,final_surprisal,183.1402683161772,2.7645726888861213,180.3756956272911,0.9849046159301607,0.0150953840698393
ClassicGP,NPZ_AMB-NPZ_UAMB,gp,1,final_surprisal,523.7746542243021,10.117353831707623,513.6573003925945,0.980683765909423,0.0193162340905769
ClassicGP,NPZ_AMB-NPZ_UAMB,gp,2,final_syntactic_rank,523.7746542243021,0.9204447019372828,522.8542095223648,0.9982426704031709,0.001757329596829
ClassicGP,NPZ_AMB-NPZ_UAMB,gp,3,syn_rank_end,523.7746542243021,0.9204447019372828,522.8542095223648,0.9982426704031709,0.001757329596829
RelativeClause,RC_Obj-RC_Subj,gp,1,final_surprisal,-113.09646367822016,-56.70499549281997,56.39146818540019,0.4986138942933184,0.5013861057066816
RelativeClause,RC_Obj-RC_Subj,gp,2,max_sampler_kl_value,-113.09646367822016,-27.70560557183184,85.39085810638832,0.7550267738639531,0.2449732261360468
RelativeClause,RC_Obj-RC_Subj,gp,3,final_syntactic_rank,-113.09646367822016,-10.3724518902087,102.72401178801147,0.9082866824225363,0.0917133175774637
AttachmentAmbiguity,AttachHigh-AttachMulti,gp,1,argmax_flips,59.72155947238124,5.099569224801975,54.62199024757926,0.914610916562547,0.085389083437453
AttachmentAmbiguity,AttachHigh-AttachMulti,gp,2,final_surprisal,59.72155947238124,3.552849310711295,56.16871016166994,0.9405097699708538,0.0594902300291462
AttachmentAmbiguity,AttachHigh-AttachMulti,gp,3,argmax_settle_step,59.72155947238124,2.226009855388604,57.49554961699263,0.9627268632123037,0.0372731367876962
AttachmentAmbiguity,AttachLow-AttachMulti,gp,1,final_surprisal,36.092428920821185,7.447722798255192,28.644706122565992,0.7936486121620174,0.2063513878379826
AttachmentAmbiguity,AttachLow-AttachMulti,gp,2,argmax_settle_step,36.092428920821185,3.602768891998695,32.48966002882249,0.9001793728013603,0.0998206271986397
AttachmentAmbiguity,AttachLow-AttachMulti,gp,3,sem_lock_step,36.092428920821185,2.163854078034099,33.928574842787086,0.9400468701405185,0.0599531298594815
Agreement,UNAGREE-AGREE,tt,1,final_syntactic_rank,85.65296480541555,6.953731254385442,78.6992335510301,0.91881505479486,0.0811849452051399
Agreement,UNAGREE-AGREE,tt,2,syn_rank_end,85.65296480541555,6.953731254385442,78.6992335510301,0.91881505479486,0.0811849452051399
Agreement,UNAGREE-AGREE,tt,3,ent_end,85.65296480541555,0.8447442574299688,84.80822054798558,0.9901375946606281,0.0098624053393719
ClassicGP,MVRR_AMB-MVRR_UAMB,tt,1,final_syntactic_rank,320.9092599102416,5.678989178642584,315.230270731599,0.9823034424739535,0.0176965575260464
ClassicGP,MVRR_AMB-MVRR_UAMB,tt,2,syn_rank_end,320.9092599102416,5.678989178642584,315.230270731599,0.9823034424739535,0.0176965575260464
ClassicGP,MVRR_AMB-MVRR_UAMB,tt,3,ent_end,320.9092599102416,5.412655062447892,315.4966048477937,0.9831333783762993,0.0168666216237007
ClassicGP,NPS_AMB-NPS_UAMB,tt,1,argmax_flips,77.30341098363105,8.844389451118351,68.45902153251271,0.885588626186351,0.1144113738136489
ClassicGP,NPS_AMB-NPS_UAMB,tt,2,argmax_settle_step,77.30341098363105,8.139628228644419,69.16378275498664,0.8947054453991949,0.1052945546008051
ClassicGP,NPS_AMB-NPS_UAMB,tt,3,final_surprisal,77.30341098363105,4.069062137865534,73.23434884576552,0.9473624502969584,0.0526375497030416
ClassicGP,NPZ_AMB-NPZ_UAMB,tt,1,final_surprisal,216.4963528959058,14.89132175018966,201.60503114571614,0.9312167546889365,0.0687832453110635
ClassicGP,NPZ_AMB-NPZ_UAMB,tt,2,max_sampler_kl_value,216.4963528959058,2.413636404157193,214.0827164917486,0.9888513761461944,0.0111486238538055
ClassicGP,NPZ_AMB-NPZ_UAMB,tt,3,final_syntactic_rank,216.4963528959058,2.1142031234161913,214.3821497724896,0.9902344630977099,0.0097655369022901
RelativeClause,RC_Obj-RC_Subj,tt,1,final_surprisal,-281.9534625836998,-83.46177733551865,198.4916852481811,0.7039874007195692,0.2960125992804308
RelativeClause,RC_Obj-RC_Subj,tt,2,final_syntactic_rank,-281.9534625836998,-23.824864370024496,258.1285982136753,0.9155007207512058,0.0844992792487942
RelativeClause,RC_Obj-RC_Subj,tt,3,syn_rank_end,-281.9534625836998,-23.824864370024496,258.1285982136753,0.9155007207512058,0.0844992792487942
AttachmentAmbiguity,AttachHigh-AttachMulti,tt,1,final_surprisal,35.789513861528526,5.229294447519751,30.560219414008774,0.8538875250512716,0.1461124749487283
AttachmentAmbiguity,AttachHigh-AttachMulti,tt,2,argmax_flips,35.789513861528526,5.159227179819041,30.630286681709485,0.8558452847451251,0.1441547152548748
AttachmentAmbiguity,AttachHigh-AttachMulti,tt,3,argmax_settle_step,35.789513861528526,2.6302020977788367,33.15931176374969,0.9265091415336005,0.0734908584663995
AttachmentAmbiguity,AttachLow-AttachMulti,tt,1,final_surprisal,16.082865945298796,10.962000374787925,5.120865570510871,0.3184050397440363,0.6815949602559637
AttachmentAmbiguity,AttachLow-AttachMulti,tt,2,argmax_settle_step,16.082865945298796,4.256948941447092,11.825917003851703,0.7353115448499123,0.2646884551500876
AttachmentAmbiguity,AttachLow-AttachMulti,tt,3,max_sampler_kl_value,16.082865945298796,1.2586756030398067,14.824190342258989,0.921738102691347,0.078261897308653
Agreement,UNAGREE-AGREE,regin,1,final_syntactic_rank,0.0465929836344443,0.0054977490594204,0.0410952345750239,0.8820047863310445,0.1179952136689565
Agreement,UNAGREE-AGREE,regin,2,syn_rank_end,0.0465929836344443,0.0054977490594204,0.0410952345750239,0.8820047863310445,0.1179952136689565
Agreement,UNAGREE-AGREE,regin,3,ent_end,0.0465929836344443,0.002706739943637,0.0438862436908073,0.9419067049907485,0.0580932950092529
ClassicGP,MVRR_AMB-MVRR_UAMB,regin,1,ent_end,0.0866385187022861,0.0173432959499836,0.0692952227523025,0.7998200314391344,0.2001799685608661
ClassicGP,MVRR_AMB-MVRR_UAMB,regin,2,ent_tail_mean,0.0866385187022861,0.016899912064957,0.0697386066373291,0.804937661468685,0.1950623385313157
ClassicGP,MVRR_AMB-MVRR_UAMB,regin,3,ent_auc,0.0866385187022861,0.0164063177396986,0.0702322009625875,0.8106348309569414,0.1893651690430595
ClassicGP,NPS_AMB-NPS_UAMB,regin,1,sem_lock_step,-0.0021114909389458,-0.0026584439747642,0.0005469530358183997,0.2590364115374683,1.2590364115375083
ClassicGP,NPS_AMB-NPS_UAMB,regin,2,max_sampler_kl_value,-0.0021114909389458,-0.0029369434050543,0.0008254524661084998,0.39093346359356,1.3909334635935864
ClassicGP,NPS_AMB-NPS_UAMB,regin,3,ent_auc,-0.0021114909389458,-0.0004639334076369,0.0016475575313089,0.7802816014599963,0.2197183985400369
ClassicGP,NPZ_AMB-NPZ_UAMB,regin,1,max_sampler_kl_value,0.0517299177686513,0.0174016458275928,0.0343282719410585,0.663605770544288,0.3363942294557137
ClassicGP,NPZ_AMB-NPZ_UAMB,regin,2,final_surprisal,0.0517299177686513,0.0063729950283951,0.045356922740256204,0.8768025293042863,0.1231974706957145
ClassicGP,NPZ_AMB-NPZ_UAMB,regin,3,sem_lock_step,0.0517299177686513,0.0040967303303418,0.0476331874383095,0.9208053964310677,0.0791946035689333
RelativeClause,RC_Obj-RC_Subj,regin,1,sampler_cumulative_kl,0.0090191292429369,0.0101126653536751,0.001093536110738199,0.12124630674236914,1.1212463067423724
RelativeClause,RC_Obj-RC_Subj,regin,2,cumulative_kl,0.0090191292429369,0.0005239517154699,0.008495177527467,0.9419066185485456,0.0580933814514548
RelativeClause,RC_Obj-RC_Subj,regin,3,total_kl,0.0090191292429369,0.0005239517154699,0.008495177527467,0.9419066185485456,0.0580933814514548
AttachmentAmbiguity,AttachHigh-AttachMulti,regin,1,sampler_cumulative_kl,0.0300679339907354,0.0068515629452606,0.0232163710454748,0.7721305711469328,0.2278694288530677
AttachmentAmbiguity,AttachHigh-AttachMulti,regin,2,cumulative_kl,0.0300679339907354,0.0049636907080461,0.0251042432826893,0.8349174669075858,0.1650825330924155
AttachmentAmbiguity,AttachHigh-AttachMulti,regin,3,total_kl,0.0300679339907354,0.0049636907080461,0.0251042432826893,0.8349174669075858,0.1650825330924155
AttachmentAmbiguity,AttachLow-AttachMulti,regin,1,max_sampler_kl_value,0.062052003830014,0.0090747003228015,0.052977303507212505,0.8537565306084097,0.1462434693915903
AttachmentAmbiguity,AttachLow-AttachMulti,regin,2,sampler_cumulative_kl,0.062052003830014,0.0060610369404557,0.055990966889558305,0.9023232681242757,0.0976767318757246
AttachmentAmbiguity,AttachLow-AttachMulti,regin,3,total_kl,0.062052003830014,0.0052103320213647,0.056841671808649304,0.9160328160289885,0.0839671839710125
Agreement,UNAGREE-AGREE,regout,1,max_sampler_kl_value,0.0903626128389391,0.0099192792377558,0.08044333360118329,0.8902280608526031,0.1097719391473975
Agreement,UNAGREE-AGREE,regout,2,sampler_cumulative_kl,0.0903626128389391,0.0011852575326787,0.08917735530626039,0.9868833193790967,0.0131166806209033
Agreement,UNAGREE-AGREE,regout,3,final_surprisal,0.0903626128389391,0.0003123863666309,0.09005022647230819,0.9965429688582855,0.0034570311417154
ClassicGP,MVRR_AMB-MVRR_UAMB,regout,1,sampler_cumulative_kl,0.293143259393761,0.0076309879573047,0.2855122714364563,0.9739684003886493,0.0260315996113508
ClassicGP,MVRR_AMB-MVRR_UAMB,regout,2,cumulative_kl,0.293143259393761,0.0031333134158621,0.2900099459778989,0.9893113236772287,0.0106886763227714
ClassicGP,MVRR_AMB-MVRR_UAMB,regout,3,total_kl,0.293143259393761,0.0031333134158621,0.2900099459778989,0.9893113236772287,0.0106886763227714
ClassicGP,NPS_AMB-NPS_UAMB,regout,1,max_sampler_kl_value,0.0890118129124639,0.0020706129000137,0.0869412000124502,0.9767377740969057,0.0232622259030943
ClassicGP,NPS_AMB-NPS_UAMB,regout,2,sem_lock_step,0.0890118129124639,0.0008422186445016,0.08816959426796231,0.9905381250314511,0.0094618749685491
ClassicGP,NPS_AMB-NPS_UAMB,regout,3,ent_auc,0.0890118129124639,0.0001079869233591,0.0889038259891048,0.9987868248064412,0.0012131751935598
ClassicGP,NPZ_AMB-NPZ_UAMB,regout,1,argmax_settle_step,0.1894800921641422,0.0033543467479893,0.1861257454161529,0.9822971019821781,0.0177028980178219
ClassicGP,NPZ_AMB-NPZ_UAMB,regout,2,cumulative_kl,0.1894800921641422,0.0023425855073315,0.1871375066568107,0.9876367723881928,0.0123632276118072
ClassicGP,NPZ_AMB-NPZ_UAMB,regout,3,total_kl,0.1894800921641422,0.0023425855073315,0.1871375066568107,0.9876367723881928,0.0123632276118072
RelativeClause,RC_Obj-RC_Subj,regout,1,final_surprisal,0.0767846949489017,0.0123911291741074,0.0643935657747943,0.8386250126753335,0.1613749873246676
RelativeClause,RC_Obj-RC_Subj,regout,2,ent_end,0.0767846949489017,0.0051806240306085,0.0716040709182932,0.9325305123103494,0.067469487689651
RelativeClause,RC_Obj-RC_Subj,regout,3,argmax_settle_step,0.0767846949489017,0.0048756262000147,0.071909068748887,0.9365026298110671,0.0634973701889336
AttachmentAmbiguity,AttachHigh-AttachMulti,regout,1,sem_lock_step,0.0831017762910296,0.0012676470367242,0.0818341292543054,0.9847458490864889,0.0152541509135115
AttachmentAmbiguity,AttachHigh-AttachMulti,regout,2,ent_auc,0.0831017762910296,0.0009948134634751,0.0821069628275545,0.9880289747358567,0.0119710252641433
AttachmentAmbiguity,AttachHigh-AttachMulti,regout,3,ent_end,0.0831017762910296,0.0009504304297274,0.08215134586130221,0.9885630551818904,0.0114369448181104
AttachmentAmbiguity,AttachLow-AttachMulti,regout,1,ent_end,0.0441030371789906,0.0016785448518518,0.042424492327138796,0.961940379637813,0.0380596203621878
AttachmentAmbiguity,AttachLow-AttachMulti,regout,2,ent_tail_mean,0.0441030371789906,0.0016022181767952,0.0425008190021954,0.9636710240545872,0.0363289759454133
AttachmentAmbiguity,AttachLow-AttachMulti,regout,3,sem_lock_step,0.0441030371789906,0.0015958963545812,0.0425071408244094,0.9638143661602191,0.036185633839783
