source,subset,contrast,human_measure,metric,magnitude_ratio_filler,ratio_filler_std,magnitude_ratio_subset,ratio_subset_std,n_splits_used,n_filler_items,n_subset_items
critical_position,RelativeClause,RC_Obj-RC_Subj,SPR_RT,final_sampler_entropy,1.6648347694305212,6.08977552469302,0.8525051772890817,3.3048632155934365,10,39,48
critical_position,RelativeClause,RC_Obj-RC_Subj,SPR_RT,final_sampler_p_target,0.5373699492484129,1.9545282321086794,0.17055297055237112,0.694225614920276,10,39,48
critical_position,RelativeClause,RC_Obj-RC_Subj,SPR_RT,cumulative_kl,0.39483985472498734,0.6172468766031708,0.4158561731194578,1.3805120807997477,10,39,48
critical_position,RelativeClause,RC_Obj-RC_Subj,SPR_RT,sampler_cumulative_kl,0.36164672881828647,0.7124388175941814,0.4935946445658065,1.5796152142651008,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,steps_taken,0.05450344171621134,0.03300817548507883,0.07275124305654697,0.048010947736764294,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_surprisal,0.08378568649051851,0.044676385635838846,0.05491833751900006,0.032307674245805926,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_entropy,0.006314900210989077,0.004283940788207767,0.030569484373852752,0.01942503916669763,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_sampler_entropy,0.09869548786170425,0.059239546205481476,0.05868544956571621,0.043449167755882055,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_sampler_p_target,0.0023493012143767857,0.0013806686980694406,0.001681707743612092,0.0009297760460621732,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,cumulative_kl,-0.030581973878921597,0.10557309427393546,0.02291026118358495,0.042633948049009725,10,39,48
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,sampler_cumulative_kl,-0.1239818875315428,0.14822937856114163,-0.049652246306129924,0.02542301213664181,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,steps_taken,0.0767821003248638,0.29987056952853114,0.004149276592229316,0.06926237598007591,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_surprisal,-0.023649850241359145,0.10150193581418514,-0.010920394061627564,0.05372135122264778,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_entropy,0.014540493032167595,0.09166833258406128,-0.031112843215261893,0.07485294691676744,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_sampler_entropy,-0.03619530915031226,0.15665867316424797,-0.021229967118690258,0.06865118881267232,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_sampler_p_target,0.01178456350302887,0.05400769494892778,0.009230063679791574,0.03960271926080885,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,cumulative_kl,0.00018632586605015904,0.003746645732325706,-0.0008887144486729977,0.004839404267865857,10,39,48
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,sampler_cumulative_kl,0.018557214659588466,0.09420551029320919,0.016691332298023154,0.08927867615530943,10,39,48
