comparison,human_measure,spearman_rho,spearman_p,kendall_tau,kendall_p,pearson_r,spearman_rho_mag,spearman_p_mag,notes
SPR_vs_GPT2,SPR_RT,0.03571428571428572,0.9394082054712856,-0.04761904761904762,1.0,0.4534654720642378,0.28571428571428575,0.5345092286010408,SPR RC residualized vs filler WP fit; GPT-2 surprisal at raw critical+2 ROI.
ET_vs_GPT2,ffd,0.3214285714285715,0.4820720382996776,0.23809523809523814,0.5619047619047619,0.6476686156025642,0.21428571428571433,0.6445115810207203,ET pooled means raw at ROI (same Phase-1 rule as GPT-2).
ET_vs_GPT2,gz,0.03571428571428572,0.9394082054712856,-0.04761904761904762,1.0,0.9958191655968998,0.5357142857142858,0.21521745567801284,ET pooled means raw at ROI (same Phase-1 rule as GPT-2).
ET_vs_GPT2,gp,-0.10714285714285716,0.8191508555699912,-0.14285714285714288,0.7726190476190476,0.5290156071216453,0.5357142857142858,0.21521745567801284,ET pooled means raw at ROI (same Phase-1 rule as GPT-2).
ET_vs_GPT2,tt,0.03571428571428572,0.9394082054712856,-0.04761904761904762,1.0,0.8097192297431074,0.7857142857142859,0.03623846267982714,ET pooled means raw at ROI (same Phase-1 rule as GPT-2).
ET_vs_GPT2,regin,0.21428571428571433,0.6445115810207203,0.14285714285714288,0.7726190476190476,0.45257475912960665,-0.28571428571428575,0.5345092286010408,ET pooled means raw at ROI (same Phase-1 rule as GPT-2).
ET_vs_GPT2,regout,-0.14285714285714288,0.7599453002180928,-0.14285714285714288,0.7726190476190476,0.2235218276447724,0.28571428571428575,0.5345092286010408,ET pooled means raw at ROI (same Phase-1 rule as GPT-2).
