source,subset,contrast,metric,n_items,mean_delta,cv,frac_dominant_sign,spearman_rho_spr,spearman_p_spr
critical_position,Agreement,UNAGREE-AGREE,steps_taken,18,60.44444444444444,4.334292201050022,0.2222222222222222,0.4830813930662999,0.0422749199306234
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,24,-74.25,5.67695990997309,0.5416666666666666,-0.0178727725544702,0.9339386289458004
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,24,-120.16666666666669,2.5335263900563496,0.5833333333333334,0.1547182479324294,0.4703785901743769
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,24,44.458333333333336,11.708955558328118,0.5833333333333334,-0.2265709990503669,0.2870409309023353
critical_position,RelativeClause,RC_Obj-RC_Subj,steps_taken,24,-251.20833333333337,1.2752231588884044,0.8333333333333334,-0.3385553936693949,0.1056114590142952
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,steps_taken,24,-47.0,4.988940077532603,0.2083333333333333,0.0979755091836735,0.6487816382832455
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,steps_taken,24,64.58333333333333,4.703547602679477,0.2916666666666667,-0.047389639558426,0.825956507906223
critical_position,Agreement,UNAGREE-AGREE,final_surprisal,18,-0.0601765255029784,34.81082537769579,0.6111111111111112,-0.2982456140350877,0.229322411766133
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,24,-0.9174484496744304,2.64904520388706,0.5833333333333334,-0.1113043478260869,0.6046100724044843
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,24,1.0985848517644798,1.2575664487818234,0.875,0.0391304347826086,0.855947935071337
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,24,-0.1115603703803561,30.939941096787656,0.4166666666666667,0.2756521739130435,0.1923169760830011
critical_position,RelativeClause,RC_Obj-RC_Subj,final_surprisal,24,-4.615300986603588,1.485231747607577,0.7916666666666666,-0.0634782608695652,0.768242407223753
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_surprisal,24,0.2819653306433361,3.7496310061626463,0.5833333333333334,0.1504347826086956,0.4829016923237179
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_surprisal,24,0.0843843433353106,28.04189029267486,0.5,0.1782608695652174,0.4046292620718748
critical_position,Agreement,UNAGREE-AGREE,final_entropy,18,0.8329243726200528,2.4996059295267266,0.8333333333333334,0.1124871001031991,0.6567565630509027
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,24,-0.3642962252100308,8.702761630562136,0.5416666666666666,-0.0999999999999999,0.6419932296067883
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,24,-0.9248609741528828,2.675785144429874,0.5833333333333334,0.2017391304347826,0.3444930314073976
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,24,0.3565563187003135,11.7552441145499,0.625,-0.3139130434782608,0.1352238108343473
critical_position,RelativeClause,RC_Obj-RC_Subj,final_entropy,24,-4.694176971912384,0.7171087775020019,0.9166666666666666,-0.3408695652173913,0.1030992061112253
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_entropy,24,-0.1713628408809503,8.88042649465804,0.2916666666666667,0.0478260869565217,0.8243778236378612
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_entropy,24,0.6148715078985939,4.06476570624465,0.625,0.1165217391304347,0.587669032951115
critical_position,Agreement,UNAGREE-AGREE,final_sampler_entropy,18,0.5615875720977783,1.5518607429946525,0.8888888888888888,-0.2198142414860681,0.3807953913501375
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,24,-0.0868785182634989,10.079700699923784,0.4583333333333333,-0.2434782608695652,0.2515981618428428
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,24,0.1816216905911763,4.292076516554613,0.5833333333333334,-0.037391304347826,0.8622893584755251
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,24,0.1945385932922363,4.71823644699694,0.6666666666666666,-0.177391304347826,0.4069625513971568
critical_position,RelativeClause,RC_Obj-RC_Subj,final_sampler_entropy,24,-3.2533076802889505,0.4303812785500709,0.9583333333333334,-0.2547826086956521,0.2295589641942163
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_entropy,24,0.2895362973213196,1.1662466906713431,0.7916666666666666,-0.0660869565217391,0.7589874525518234
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_entropy,24,0.1142322023709615,5.539444431699949,0.5833333333333334,0.1399999999999999,0.5140986909290425
critical_position,Agreement,UNAGREE-AGREE,final_sampler_p_target,18,-0.0006575287844536,3.2937495334217015,0.5,0.1021671826625386,0.6866550541678016
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,24,0.000599684575081,4.447479330337737,0.5416666666666666,0.02,0.9260958020254711
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,24,-0.0017638797166152,2.5539880230860983,0.7916666666666666,-0.1278260869565217,0.5516845044816034
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,24,-0.0005066094162327,2.4385706351578436,0.75,0.08,0.7101960521957591
critical_position,RelativeClause,RC_Obj-RC_Subj,final_sampler_p_target,24,0.0377847645676799,2.3434503560578825,0.875,0.0626086956521739,0.7713343005112614
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_p_target,24,-0.0002557129490495,17.15969065768548,0.5833333333333334,-0.1739130434782608,0.4163699952935561
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_p_target,24,0.0014920466188688,5.5300947031747745,0.5833333333333334,0.2060869565217391,0.3339723271430127
critical_position,Agreement,UNAGREE-AGREE,cumulative_kl,18,0.0518013082685987,4.724745472145386,0.6111111111111112,0.3952528379772961,0.104496652622016
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,24,-0.1229137684429891,2.458521918031544,0.5833333333333334,-0.1121739130434782,0.601772453267223
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,24,-0.1040201427702716,2.613623445076727,0.5833333333333334,0.1069565217391304,0.6188809974331805
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,24,-0.0291448739970595,19.684507949043592,0.5416666666666666,-0.1756521739130434,0.4116514469750539
critical_position,RelativeClause,RC_Obj-RC_Subj,cumulative_kl,24,-0.3264754334284513,2.309699838597771,0.625,-0.2869565217391304,0.1739742419036643
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,cumulative_kl,24,-0.2187947982724836,3.711228081849717,0.625,0.2591304347826086,0.2214337107563588
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,cumulative_kl,24,0.0027124326327339,246.5774581287608,0.5833333333333334,0.2226086956521739,0.2957784225344219
critical_position,Agreement,UNAGREE-AGREE,sampler_cumulative_kl,18,0.1241826325680853,3.6342025158345552,0.6111111111111112,0.3498452012383901,0.1546923218138582
critical_position,ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,24,-0.119843826128393,4.824259436569346,0.5833333333333334,-0.1113043478260869,0.6046100724044843
critical_position,ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,24,-0.1885398847177081,2.8360816069811823,0.5833333333333334,0.0991304347826086,0.6449056390307348
critical_position,ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,24,-0.0439422280226911,26.596120323970975,0.5416666666666666,-0.1843478260869565,0.3885058997417008
critical_position,RelativeClause,RC_Obj-RC_Subj,sampler_cumulative_kl,24,-0.5794980558178698,2.475748159121238,0.5833333333333334,-0.3095652173913043,0.1410114671131046
critical_position,AttachmentAmbiguity,AttachHigh-AttachMulti,sampler_cumulative_kl,24,-0.6386079861846762,3.800911116022351,0.6666666666666666,0.2747826086956521,0.1937806358685572
critical_position,AttachmentAmbiguity,AttachLow-AttachMulti,sampler_cumulative_kl,24,-0.1091458809708759,15.148947951689395,0.5,0.2799999999999999,0.1851120536513263
