source,subset,contrast,human_measure,metric,magnitude_ratio_filler,ratio_filler_std,magnitude_ratio_subset,ratio_subset_std,n_splits_used,n_filler_items,n_subset_items
bidirectional,RelativeClause,RC_Obj-RC_Subj,SPR_RT,final_entropy,-0.38866478863095266,0.971923725470514,-0.1929567458455738,0.5884757324431397,10,39,48
bidirectional,RelativeClause,RC_Obj-RC_Subj,SPR_RT,final_sampler_entropy,2.0224321180150406,7.013914738200682,0.5313842839548117,2.3250446570359697,10,39,48
bidirectional,RelativeClause,RC_Obj-RC_Subj,SPR_RT,final_sampler_p_target,0.47253878308224706,1.6801499623673728,0.08454047209750404,0.4591408531514815,10,39,48
bidirectional,RelativeClause,RC_Obj-RC_Subj,SPR_RT,cumulative_kl,-0.0048468270473074,0.02477748288471551,0.007824568554637399,0.023517384093723413,10,39,48
bidirectional,RelativeClause,RC_Obj-RC_Subj,SPR_RT,sampler_cumulative_kl,0.03526496837258574,0.09052524690785069,0.16910090096597372,0.5249916566617314,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,steps_taken,0.18181077610610072,0.1082303245967809,0.021131153732149736,0.01640111238216627,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_surprisal,0.09900194848921853,0.05258074268138152,0.054895709095397295,0.03231389790407899,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_entropy,0.007245576885424429,0.012802620512690996,0.006656904354886274,0.0044761801951372845,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_sampler_entropy,0.09564695905657478,0.05693518367266323,0.047304845840980644,0.03398615002957499,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,final_sampler_p_target,0.011862869133194853,0.007012924144033183,0.008131624219399971,0.004506016413186374,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,cumulative_kl,0.025906443085270254,0.013168401241391837,-0.007935946002708357,0.014450185076122859,10,39,48
bidirectional,AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,sampler_cumulative_kl,-0.006087047197659066,0.022863800526815043,-0.022102817003484283,0.019848081118539626,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,steps_taken,-0.20511104815733563,0.8559224282486578,-0.026033082347650283,0.17208136726168566,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_surprisal,-0.19877600656419644,0.8476381226843644,-0.07769364488612691,0.38531598529546096,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_entropy,-0.014929260699939889,0.12079125412936512,-0.007199613423449469,0.11409379858979632,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_sampler_entropy,-0.08442489841804882,0.3588030649284055,-0.03612763528949507,0.12942471097259825,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,final_sampler_p_target,0.01104160088405784,0.04978448169238926,0.007905432001095742,0.03390811052683042,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,cumulative_kl,-0.04420204610837294,0.15268880350526517,0.003951442475177786,0.04714050149663845,10,39,48
bidirectional,AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,sampler_cumulative_kl,-0.0032774829235697064,0.04710914053537769,0.023894241562450572,0.06570916290510556,10,39,48
