subset,contrast,human_measure,rank,metric,observed_mean,predicted_mean,abs_err_ms,rel_abs_err,magnitude_ratio
Agreement,UNAGREE-AGREE,SPR_RT,1,final_syntactic_rank,65.62819072958922,1.721204565047439,63.906986164541784,0.9737733960678667,0.0262266039321333
Agreement,UNAGREE-AGREE,SPR_RT,2,syn_rank_end,65.62819072958922,1.721204565047439,63.906986164541784,0.9737733960678667,0.0262266039321333
Agreement,UNAGREE-AGREE,SPR_RT,3,ent_end,65.62819072958922,0.5555423013630458,65.07264842822617,0.9915350050765216,0.0084649949234784
ClassicGP,MVRR_AMB-MVRR_UAMB,SPR_RT,1,ent_end,210.24906328522192,3.5596085127881785,206.68945477243375,0.9830695630355354,0.0169304369644646
ClassicGP,MVRR_AMB-MVRR_UAMB,SPR_RT,2,ent_tail_mean,210.24906328522192,3.451029377013659,206.79803390820825,0.9835859940439685,0.0164140059560314
ClassicGP,MVRR_AMB-MVRR_UAMB,SPR_RT,3,ent_auc,210.24906328522192,3.1598483637462516,207.08921492147567,0.9849709277445882,0.0150290722554118
ClassicGP,NPS_AMB-NPS_UAMB,SPR_RT,1,argmax_settle_step,60.030860674836504,3.5990280076333883,56.43183266720312,0.9400470363547193,0.0599529636452807
ClassicGP,NPS_AMB-NPS_UAMB,SPR_RT,2,argmax_flips,60.030860674836504,2.200349461550843,57.83051121328566,0.9633463615744364,0.0366536384255636
ClassicGP,NPS_AMB-NPS_UAMB,SPR_RT,3,final_surprisal,60.030860674836504,1.084869157784027,58.94599151705248,0.9819281425322163,0.0180718574677837
ClassicGP,NPZ_AMB-NPZ_UAMB,SPR_RT,1,final_surprisal,142.78152835206106,3.970235680375614,138.81129267168544,0.9721936322842399,0.0278063677157599
ClassicGP,NPZ_AMB-NPZ_UAMB,SPR_RT,2,max_sampler_kl_value,142.78152835206106,2.464608172543066,140.31692017951798,0.9827386063100122,0.0172613936899876
ClassicGP,NPZ_AMB-NPZ_UAMB,SPR_RT,3,final_syntactic_rank,142.78152835206106,0.5233127272737974,142.25821562478725,0.9963348709506494,0.0036651290493504
RelativeClause,RC_Obj-RC_Subj,SPR_RT,1,final_syntactic_rank,-12.085104575656905,-5.89718869124552,6.187915884411384,0.5120283275724182,0.4879716724275817
RelativeClause,RC_Obj-RC_Subj,SPR_RT,2,syn_rank_end,-12.085104575656905,-5.89718869124552,6.187915884411384,0.5120283275724182,0.4879716724275817
RelativeClause,RC_Obj-RC_Subj,SPR_RT,3,ent_end,-12.085104575656905,-4.428110242516247,7.656994333140657,0.6335894145727282,0.3664105854272718
AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,1,final_surprisal,30.95209363920576,1.3942033989339109,29.55789024027185,0.9549560874561348,0.0450439125438652
AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,2,cumulative_kl,30.95209363920576,1.3036059261208262,29.648487713084933,0.9578831099015027,0.0421168900984972
AttachmentAmbiguity,AttachHigh-AttachMulti,SPR_RT,3,total_kl,30.95209363920576,1.3036059261208262,29.648487713084933,0.9578831099015027,0.0421168900984972
AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,1,final_surprisal,4.026938638423822,2.922623373960711,1.1043152644631107,0.2742319572307536,0.7257680427692463
AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,2,argmax_settle_step,4.026938638423822,1.8822577686554804,2.144680869768341,0.5325834491999579,0.4674165508000421
AttachmentAmbiguity,AttachLow-AttachMulti,SPR_RT,3,total_kl,4.026938638423822,1.3683809285493935,2.658557709874428,0.6601932506513212,0.3398067493486789
