source,subset,metric,filler_n_items,subset_n_items,filler_mean,filler_cv,subset_mean,subset_cv,ks_stat,ks_p,mw_stat,mw_p
bidirectional,Agreement,steps_taken,39,18,592.8458916532303,0.1261443557080213,152.91666666666666,0.6885959149840389,1.0,6.4448453267454706e-15,702.0,1.5423491221827094e-09
bidirectional,Agreement,final_surprisal,39,18,11.013905899869911,0.12690619402400005,15.890678706127115,0.2010490156499517,0.782051282051282,5.437189893001618e-08,67.0,1.1330639598654684e-06
bidirectional,Agreement,final_entropy,39,18,5.187145646609076,0.1440478082119774,1.4974165442917082,0.682348010776165,1.0,6.4448453267454706e-15,702.0,1.7743479238089246e-09
bidirectional,Agreement,final_sampler_entropy,39,18,8.258447695267042,0.07315776469906399,7.863772498236762,0.10730621882941915,0.3717948717948718,0.04986369103847864,453.0,0.08142006156725612
bidirectional,Agreement,final_sampler_p_target,39,18,0.040545970476518256,0.7734459160860779,0.0015004904344506384,2.271806406645762,0.8974358974358975,5.120429612099273e-11,694.0,4.1055786666999885e-09
bidirectional,Agreement,cumulative_kl,39,18,0.40319572050017083,0.38555752102684887,0.048406401347670505,1.3528907714718221,0.9444444444444444,1.4629798891712207e-12,699.0,2.4355736842312476e-09
bidirectional,Agreement,sampler_cumulative_kl,39,18,1.440513129484003,0.3228273480648338,0.626598337574655,0.730067864181052,0.7564102564102564,2.0346118902722371e-07,632.0,1.4683544473703023e-06
bidirectional,ClassicGP,steps_taken,39,24,592.8458916532303,0.1261443557080213,487.3958333333333,0.18316623885857763,0.5256410256410257,0.0002715476660808315,755.0,5.0141353461094425e-05
bidirectional,ClassicGP,final_surprisal,39,24,11.013905899869911,0.12690619402400005,15.096408343843885,0.2528287532361545,0.657051282051282,1.1815561042991285e-06,167.0,2.1081666715576868e-05
bidirectional,ClassicGP,final_entropy,39,24,5.187145646609076,0.1440478082119774,4.347576092100805,0.17534629400513005,0.44871794871794873,0.0031462616995741777,734.0,0.00017145187476916293
bidirectional,ClassicGP,final_sampler_entropy,39,24,8.258447695267042,0.07315776469906399,8.09260825647248,0.08616053098468512,0.20512820512820512,0.48909902995194604,526.0,0.41574571624821
bidirectional,ClassicGP,final_sampler_p_target,39,24,0.040545970476518256,0.7734459160860779,0.001005546044748229,2.1126672129210475,0.9487179487179487,4.6216003756701665e-15,930.0,6.497385526949696e-11
bidirectional,ClassicGP,cumulative_kl,39,24,0.40319572050017083,0.38555752102684887,0.22379755277812466,0.3529439669354956,0.6314102564102564,3.877347681712014e-06,831.0,2.8877356466256894e-07
bidirectional,ClassicGP,sampler_cumulative_kl,39,24,1.440513129484003,0.3228273480648338,0.9845319074803328,0.22727981657920768,0.5416666666666666,0.0001526495389655434,790.0,5.3559725605895625e-06
bidirectional,RelativeClause,steps_taken,39,24,592.8458916532303,0.1261443557080213,558.125,0.40722301454820964,0.4326923076923077,0.00496279611870698,544.0,0.2851404105404851
bidirectional,RelativeClause,final_surprisal,39,24,11.013905899869911,0.12690619402400005,11.737969886754883,0.19840090299312108,0.2692307692307692,0.18996684050682952,391.0,0.2789238822963005
bidirectional,RelativeClause,final_entropy,39,24,5.187145646609076,0.1440478082119774,5.3843257199041545,0.4359850348439174,0.391025641025641,0.014889768363787753,514.0,0.5195867410941031
bidirectional,RelativeClause,final_sampler_entropy,39,24,8.258447695267042,0.07315776469906399,9.787222703297934,0.08173781950694964,0.8237179487179487,9.447951691519572e-11,57.0,6.2474136817067824e-09
bidirectional,RelativeClause,final_sampler_p_target,39,24,0.040545970476518256,0.7734459160860779,0.027122733982797815,1.259009986193741,0.3557692307692308,0.03452773193220809,640.0,0.015210879219927878
bidirectional,RelativeClause,cumulative_kl,39,24,0.40319572050017083,0.38555752102684887,0.3547185238040053,0.8200202252025647,0.3814102564102564,0.01892567920006319,592.0,0.08047222313401031
bidirectional,RelativeClause,sampler_cumulative_kl,39,24,1.440513129484003,0.3228273480648338,1.35798333508986,0.5179424815505963,0.20833333333333334,0.4684789873399616,527.0,0.40768319637755857
bidirectional,AttachmentAmbiguity,steps_taken,39,24,592.8458916532303,0.1261443557080213,548.9583333333334,0.5501833621461094,0.3333333333333333,0.05609068794219657,453.0,0.8373923235834406
bidirectional,AttachmentAmbiguity,final_surprisal,39,24,11.013905899869911,0.12690619402400005,14.42753395886943,0.38277060095582477,0.6474358974358975,1.9127467054472332e-06,227.0,0.000664291636773148
bidirectional,AttachmentAmbiguity,final_entropy,39,24,5.187145646609076,0.1440478082119774,4.378221352972711,0.5167826749253676,0.36538461538461536,0.027625973649463245,509.0,0.5664989610318142
bidirectional,AttachmentAmbiguity,final_sampler_entropy,39,24,8.258447695267042,0.07315776469906399,7.571796185440488,0.17239266058757965,0.3557692307692308,0.03452773193220809,634.0,0.019160264577419962
bidirectional,AttachmentAmbiguity,final_sampler_p_target,39,24,0.040545970476518256,0.7734459160860779,0.01763155244407106,4.2494036913173625,0.8237179487179487,9.447951691519572e-11,871.0,1.2209930341444358e-08
bidirectional,AttachmentAmbiguity,cumulative_kl,39,24,0.40319572050017083,0.38555752102684887,0.4659728777546661,0.8293222436324236,0.33974358974358976,0.04904534786167611,427.0,0.5664989610318142
bidirectional,AttachmentAmbiguity,sampler_cumulative_kl,39,24,1.440513129484003,0.3228273480648338,1.7487910931271877,0.6145738683197134,0.4198717948717949,0.007072689442302189,363.0,0.13913045942897767
