subset,contrast,metric,frac_dominant_sign,cv_gt_1,n,mean,sd,iqr,cv,ci_lo,ci_hi
Agreement,UNAGREE-AGREE,steps_taken,0.2222222222222222,True,18,60.44444444444444,261.9838841523569,0.0,4.334292201050022,-57.72222222222222,182.18055555555546
Agreement,UNAGREE-AGREE,final_surprisal,0.6111111111111112,True,18,-0.060176525502978445,2.0947945211206402,1.43683826891214,34.81082537769579,-1.0669181501465537,0.8059256492241159
Agreement,UNAGREE-AGREE,final_entropy,0.8333333333333334,True,18,0.8329243726200528,2.0819827006484126,1.5778603255748749,2.4996059295267266,-0.12547881768809424,1.7827833240230857
Agreement,UNAGREE-AGREE,final_sampler_entropy,0.8888888888888888,True,18,0.5615875720977783,0.8715057068922213,0.6035058498382568,1.5518607429946525,0.15372101929452683,0.9310826010174221
Agreement,UNAGREE-AGREE,final_sampler_p_target,0.5,True,18,-0.000657528784453613,0.0021657351270054264,0.0003830884920716926,3.2937495334217015,-0.0017589721155216707,0.00011256314823163543
Agreement,UNAGREE-AGREE,cumulative_kl,0.6111111111111112,True,18,0.05180130826859871,0.2447479966932691,0.07171389101131354,4.724745472145386,-0.05928598323322755,0.16627410730028605
Agreement,UNAGREE-AGREE,sampler_cumulative_kl,0.6111111111111112,True,18,0.12418263256808536,0.451304835701894,0.21787255851813825,3.6342025158345552,-0.07465564593177179,0.3256035167837883
ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,0.5416666666666666,True,24,-74.25,421.5142733155019,703.75,5.67695990997309,-236.43124999999998,94.63333333333284
ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,0.5833333333333334,True,24,-0.9174484496744303,2.4303624154236685,3.603581695655736,2.64904520388706,-1.8786752079538607,0.012793155930161957
ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,0.5416666666666666,True,24,-0.36429622521003086,3.1703832109164796,4.68244868516922,8.702761630562136,-1.5262149829417466,0.9515700770542016
ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_entropy,0.4583333333333333,True,24,-0.08687851826349895,0.8757094613489317,0.7941746711730957,10.079700699923785,-0.445975860953331,0.25199520389238983
ClassicGP,MVRR_AMB-MVRR_UAMB,final_sampler_p_target,0.5416666666666666,True,24,0.000599684575081009,0.0026670847523951567,9.120862569034216e-05,4.447479330337737,-3.700159524525996e-05,0.001786848898088777
ClassicGP,MVRR_AMB-MVRR_UAMB,cumulative_kl,0.5833333333333334,True,24,-0.12291376844298914,0.3021861937449427,0.3441134755425992,2.458521918031544,-0.24600232882346895,-0.008496373441789825
ClassicGP,MVRR_AMB-MVRR_UAMB,sampler_cumulative_kl,0.5833333333333334,True,24,-0.11984382612839302,0.578157709114476,0.6749990030075423,4.824259436569346,-0.3483844378663586,0.09429383798530266
ClassicGP,NPS_AMB-NPS_UAMB,steps_taken,0.5833333333333334,True,24,-120.16666666666667,304.4454212051047,537.5,2.5335263900563496,-236.33645833333335,-5.665625000000006
ClassicGP,NPS_AMB-NPS_UAMB,final_surprisal,0.875,True,24,1.0985848517644798,1.3815434507189628,1.7649837502675236,1.2575664487818234,0.569460172738077,1.6104611161922275
ClassicGP,NPS_AMB-NPS_UAMB,final_entropy,0.5833333333333334,True,24,-0.9248609741528829,2.474729255301226,3.6018251180648804,2.675785144429874,-1.9125138014554977,-0.024805547048648416
ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_entropy,0.5833333333333334,True,24,0.18162169059117636,0.7795341930833359,1.1753299236297607,4.292076516554613,-0.12081013768911361,0.47793557792901975
ClassicGP,NPS_AMB-NPS_UAMB,final_sampler_p_target,0.7916666666666666,True,24,-0.001763879716615217,0.004504927670399765,0.0005339892132951718,2.5539880230860983,-0.003938504547890176,-0.00030760001405028003
ClassicGP,NPS_AMB-NPS_UAMB,cumulative_kl,0.5833333333333334,True,24,-0.10402014277027168,0.27186948390461046,0.30205465121707675,2.613623445076727,-0.21610278637034147,-0.006009532062197923
ClassicGP,NPS_AMB-NPS_UAMB,sampler_cumulative_kl,0.5833333333333334,True,24,-0.18853988471770813,0.5347144992302445,0.7067229271851829,2.8360816069811823,-0.40854424807688094,-0.00048818289894078247
ClassicGP,NPZ_AMB-NPZ_UAMB,steps_taken,0.5833333333333334,True,24,44.458333333333336,520.5606491973376,747.75,11.708955558328118,-161.04166666666666,249.58333333333334
ClassicGP,NPZ_AMB-NPZ_UAMB,final_surprisal,0.4166666666666667,True,24,-0.11156037038035616,3.4516712883040337,3.683510722589301,30.939941096787656,-1.4671697777027137,1.1657055133452914
ClassicGP,NPZ_AMB-NPZ_UAMB,final_entropy,0.625,True,24,0.35655631870031357,4.19140656690744,6.450324982404709,11.755244114549901,-1.2991070713226993,2.0165420427297556
ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_entropy,0.6666666666666666,True,24,0.19453859329223633,0.9178790812189439,1.2092911005020142,4.71823644699694,-0.16280740052461626,0.543513950705528
ClassicGP,NPZ_AMB-NPZ_UAMB,final_sampler_p_target,0.75,True,24,-0.0005066094162327062,0.0012354028459195345,0.0002619232575575836,2.4385706351578436,-0.001044937241919408,-0.00010525622445228449
ClassicGP,NPZ_AMB-NPZ_UAMB,cumulative_kl,0.5416666666666666,True,24,-0.029144873997059523,0.5737025038689921,0.76860695896994,19.684507949043592,-0.24811631360131137,0.20500682833321654
ClassicGP,NPZ_AMB-NPZ_UAMB,sampler_cumulative_kl,0.5416666666666666,True,24,-0.043942228022691175,1.1686927837948637,1.5681519206409575,26.596120323970975,-0.4812953064301837,0.4231573681646599
RelativeClause,RC_Obj-RC_Subj,steps_taken,0.8333333333333334,True,24,-251.20833333333334,320.3466843724246,363.5,1.2752231588884044,-373.24375,-128.26562500000014
RelativeClause,RC_Obj-RC_Subj,final_surprisal,0.7916666666666666,True,24,-4.615300986603588,6.854791550068221,8.128282270763151,1.485231747607577,-6.915155117246681,-1.529294962183993
RelativeClause,RC_Obj-RC_Subj,final_entropy,0.9166666666666666,False,24,-4.694176971912384,3.3662355097061387,3.5566298961639404,0.7171087775020019,-5.902833992987871,-3.297211720297735
RelativeClause,RC_Obj-RC_Subj,final_sampler_entropy,0.9583333333333334,False,24,-3.2533076802889505,1.400162718959524,1.5369724035263062,0.43038127855007097,-3.7604369029402736,-2.6445915728807456
RelativeClause,RC_Obj-RC_Subj,final_sampler_p_target,0.875,True,24,0.03778476456767995,0.08854671997969285,0.061400285052968684,2.3434503560578825,-0.00026539475857821507,0.06890942105232407
RelativeClause,RC_Obj-RC_Subj,cumulative_kl,0.625,True,24,-0.32647543342845137,0.7540602558958315,0.5446866549964398,2.309699838597771,-0.6579438365223288,-0.07219933056577534
RelativeClause,RC_Obj-RC_Subj,sampler_cumulative_kl,0.5833333333333334,True,24,-0.5794980558178698,1.4346912449054277,1.2501129886950366,2.475748159121238,-1.1904726688279272,-0.07614702628731423
AttachmentAmbiguity,AttachHigh-AttachMulti,steps_taken,0.20833333333333334,True,24,-47.0,234.48018364403234,0.0,4.988940077532603,-147.18229166666666,39.333333333333336
AttachmentAmbiguity,AttachHigh-AttachMulti,final_surprisal,0.5833333333333334,True,24,0.2819653306433361,1.0572659464431557,0.7781433942471638,3.7496310061626468,-0.11482005871549436,0.7075923712205714
AttachmentAmbiguity,AttachHigh-AttachMulti,final_entropy,0.2916666666666667,True,24,-0.1713628408809503,1.521775112359061,0.40048593282699585,8.88042649465804,-0.8448684033937752,0.3533054994729656
AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_entropy,0.7916666666666666,True,24,0.2895362973213196,0.33767074858022306,0.39954328536987305,1.1662466906713431,0.16600724806388217,0.41981615026791885
AttachmentAmbiguity,AttachHigh-AttachMulti,final_sampler_p_target,0.5833333333333334,True,24,-0.00025571294904954317,0.004387955102854649,5.98754645579902e-05,17.15969065768548,-0.0021964524093862773,0.0013356546454476846
AttachmentAmbiguity,AttachHigh-AttachMulti,cumulative_kl,0.625,True,24,-0.2187947982724836,0.8119973995114851,0.18646734721733083,3.711228081849717,-0.5837971786769212,0.0019707864865532764
AttachmentAmbiguity,AttachHigh-AttachMulti,sampler_cumulative_kl,0.6666666666666666,True,24,-0.6386079861846762,2.4272921934699836,0.39193947294552345,3.800911116022351,-1.719747977208317,-0.03692662878722051
AttachmentAmbiguity,AttachLow-AttachMulti,steps_taken,0.2916666666666667,True,24,64.58333333333333,303.77078267304955,52.0,4.703547602679477,-47.82708333333333,190.91979166666664
AttachmentAmbiguity,AttachLow-AttachMulti,final_surprisal,0.5,True,24,0.08438434333531064,2.36629649822819,1.0122522659905604,28.04189029267486,-0.7069891217598127,1.047517430078378
AttachmentAmbiguity,AttachLow-AttachMulti,final_entropy,0.625,True,24,0.6148715078985939,2.499308619053141,0.6307820081710815,4.06476570624465,-0.32726598119285577,1.654664372957389
AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_entropy,0.5833333333333334,True,24,0.1142322023709615,0.6327829373446444,0.4897463321685791,5.539444431699949,-0.12334129412968953,0.3685908501346905
AttachmentAmbiguity,AttachLow-AttachMulti,final_sampler_p_target,0.5833333333333334,True,24,0.0014920466188688881,0.00825115910389667,9.46594027482206e-05,5.5300947031747745,-0.0005195972378999158,0.005020073927378612
AttachmentAmbiguity,AttachLow-AttachMulti,cumulative_kl,0.5833333333333334,True,24,0.0027124326327339077,0.6688247439250296,0.41549287152338366,246.5774581287608,-0.27369802205657456,0.22591912621703797
AttachmentAmbiguity,AttachLow-AttachMulti,sampler_cumulative_kl,0.5,True,24,-0.10914588097087592,1.6534452699690856,1.6018486083776224,15.148947951689397,-0.7841782253117344,0.4765225642465187
