source,variable,spearman_rho_order,spearman_p,kendall_tau,mean_signed_MVRR,mean_signed_NPZ,mean_signed_NPS,mean_signed_Agreement,mean_signed_AttachHigh,order_signed_large_to_small
bidirectional,entropy,0.8999999999999998,0.03738607346849874,0.7999999999999999,0.7637041550164746,0.1096060633843387,-0.0215020953377287,0.1081257464431306,-0.1984660703795953,MVRR>NPZ > Agr>NPS > HiA
bidirectional,p_semantic_neighbors,0.7,0.1881204043741873,0.6,0.0019589440962869,0.0014281441251428,-0.0019266845327928,-0.0002758946696436,-0.0007036473012238,MVRR>NPZ > Agr> HiA>NPS 
bidirectional,p_syntactic_group,0.49999999999999994,0.3910022189557703,0.39999999999999997,0.0054438635889709,-0.0012418286071231,-0.0060138180833147,0.0010434966359517,-0.0034829907823076,MVRR> Agr>NPZ > HiA>NPS 
bidirectional,sampler_entropy,-0.49999999999999994,0.3910022189557703,-0.39999999999999997,-0.1435657938150849,0.4096495089903775,0.1581187991881998,0.8242879019569608,0.2701506471519621, Agr>NPZ > HiA>NPS >MVRR
bidirectional,surprisal,-0.09999999999999999,0.8728885715695384,0.0,-0.7736682337074899,0.7929492787072627,0.2853243562554689,-0.0635604810709669,0.2574965357323461,NPZ >NPS > HiA> Agr>MVRR
