subset,contrast,metric,frac_dominant_sign,cv_gt_1,n,mean,sd,iqr,cv,ci_lo,ci_hi
Agreement,UNAGREE-AGREE,steps_taken,0.1111111111111111,True,18,13.055555555555555,66.44544177011801,0.0,5.089438093030315,-11.88888888888889,46.27777777777778
Agreement,UNAGREE-AGREE,final_surprisal,0.5555555555555556,True,18,-0.12311103310576493,0.9812828763972054,1.589256432573444,7.9707143351984,-0.5674626244537733,0.34124468088501836
Agreement,UNAGREE-AGREE,final_entropy,0.8333333333333334,True,18,0.21943505936198765,0.6507160873617951,0.11948011815547943,2.9654153226643305,-0.03072411393125852,0.5512744676735661
Agreement,UNAGREE-AGREE,final_sampler_entropy,1.0,False,18,0.8513767984178331,0.4127039987715589,0.6929513216018677,0.4847489378833351,0.6769069751103719,1.0365518748760223
Agreement,UNAGREE-AGREE,final_sampler_p_target,0.5,True,18,-0.0006973885184417364,0.0019303288179970594,0.00022962099137657788,2.7679389134628107,-0.001696358368681514,-2.6495330472345045e-05
Agreement,UNAGREE-AGREE,cumulative_kl,0.6111111111111112,True,18,0.004633219557945267,0.027814425603328065,0.008535982383364171,6.003260854675137,-0.007505019695731284,0.01777337511729354
Agreement,UNAGREE-AGREE,sampler_cumulative_kl,0.7777777777777778,True,18,0.06649768142960966,0.17776805987417704,0.11909723981807474,2.673297114311442,-0.0127889373026038,0.14549179636136003
ClassicGP,MVRR_AMB-MVRR_UAMB,steps_taken,0.7916666666666666,True,24,169.29166666666666,200.14744112380203,231.0,1.1822639889173638,90.95625,244.83333333333334
ClassicGP,MVRR_AMB-MVRR_UAMB,final_surprisal,0.7083333333333334,True,24,-0.9398059692455822,1.5655764747040635,2.0435572228704966,1.665850745724472,-1.5810867500798331,-0.31937847172610756
ClassicGP,MVRR_AMB-MVRR_UAMB,final_entropy,0.7916666666666666,True,24,1.4060187737147014,1.7620879438941706,2.234267294406891,1.2532463839289532,0.7099580508967241,2.0712718372543653
